GA,Copy,Script,ExtLink,Label
FALSE,FALSE,9,0,Target
TRUE,FALSE,20,0,Target
FALSE,FALSE,10,0,Target
TRUE,FALSE,19,9.89010989,Target
TRUE,FALSE,12,66.66666667,Target
TRUE,FALSE,18,0,Target
TRUE,FALSE,15,0,Target
TRUE,FALSE,63,0,Target
FALSE,FALSE,5,0,Target
TRUE,FALSE,81,60,Target
FALSE,FALSE,19,25,Target
TRUE,FALSE,45,12.5,Target
TRUE,FALSE,36,12.5,Target
FALSE,FALSE,11,60,Target
TRUE,FALSE,75,0,Target
FALSE,FALSE,4,0,Target
FALSE,FALSE,24,41.66666667,Target
FALSE,FALSE,34,0,Target
FALSE,FALSE,24,0,Target
FALSE,FALSE,5,0,Target
TRUE,FALSE,76,0,Target
FALSE,FALSE,31,0,Target
FALSE,FALSE,47,2.803738318,Target
FALSE,FALSE,12,0,Target
TRUE,FALSE,61,0,Target
TRUE,FALSE,70,14.54545455,Target
TRUE,FALSE,39,0,Target
FALSE,FALSE,12,26.31578947,Target
TRUE,FALSE,108,12,Target
TRUE,FALSE,80,50,Target
FALSE,FALSE,15,63.15789474,Target
TRUE,FALSE,115,4.564315353,Target
TRUE,FALSE,23,28.57142857,Target
FALSE,FALSE,4,0,Target
